Feature,Importance
Accident_Location_A_Chainage_km,0.2065860914925298
Hour,0.12671436070474915
Vehicle_Type_Involved_J_V1,0.10336965322764537
Causes_D,0.09153425541185532
Day_of_Week,0.07505141289072871
Month,0.07113362969337089
Day,0.07038334740519173
Weather_Conditions_H,0.056162499239719575
Vehicle_Type_Involved_J_V2,0.055465880078048375
Year,0.05032468817745049
Road_Condition_F,0.03543503551760244
Accident_Location_A_Chainage_km_RoadSide,0.027128685114882516
Road_Feature_E,0.017112033044402813
Accident_Location_A,0.01359842800182298
