Day_of_Week,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Causes_D,Road_Feature_E,Road_Condition_F,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Year,Month,Day,Hour
4,2,400.575,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,7
5,2,508.05,1,2,4,1,4,6,5.0,2017.0,7.0,6.0,18
4,2,195.8,2,3,2,1,2,6,5.0,2017.0,11.0,5.0,17
6,2,510.2,1,3,4,1,1,5,5.0,2017.0,7.0,6.0,1
6,2,239.6,1,3,2,1,2,6,5.0,2017.0,7.0,6.0,20
5,2,487.85,1,1,4,1,1,6,5.0,2017.0,10.0,11.0,20
7,2,129.0,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,23
2,2,175.4,1,2,4,1,1,6,5.0,2017.0,12.0,9.0,15
5,2,165.8,2,2,4,1,1,11,5.0,2017.0,7.0,6.0,17
3,1,491.1,2,2,4,1,1,9,5.0,2017.0,12.0,4.0,2
6,2,415.0,1,2,4,1,1,1,5.0,2016.0,5.0,11.0,12
7,2,232.6,2,3,2,4,10,2,5.0,2017.0,7.0,6.0,4
7,2,481.25,2,3,4,1,1,6,5.0,2017.0,7.0,6.0,8
5,2,191.9,1,3,4,1,2,5,5.0,2017.0,7.0,6.0,16
5,2,76.71,2,2,4,1,3,6,5.0,2022.0,7.0,7.0,16
6,2,487.25,1,3,4,1,1,6,5.0,2017.0,7.0,6.0,20
1,2,496.25,2,2,4,1,1,5,1.0,2017.0,7.0,6.0,22
5,1,498.95,1,3,4,1,1,6,5.0,2016.0,11.0,3.0,13
3,2,156.6,2,3,2,4,9,10,5.0,2017.0,7.0,6.0,7
6,2,416.52,1,2,4,1,1,5,5.0,2017.0,7.0,6.0,15
4,2,232.6,1,3,4,1,1,6,5.0,2017.0,7.0,6.0,20
6,2,78.7,1,2,4,1,3,6,5.0,2022.0,12.0,8.0,12
5,2,485.35,1,2,4,1,1,6,5.0,2016.0,4.0,3.0,19
5,2,672.195,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,1
1,2,508.0,1,3,4,1,1,5,5.0,2015.0,12.0,10.0,1
2,2,157.1,2,3,2,1,1,6,5.0,2017.0,7.0,6.0,19
4,2,205.2,1,4,4,1,1,6,5.0,2017.0,7.0,6.0,8
2,2,509.2,2,2,4,1,3,5,5.0,2017.0,8.0,8.0,17
4,2,456.7,1,3,4,1,1,7,5.0,2017.0,7.0,6.0,22
6,2,45.3,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,13
7,1,499.25,1,2,4,1,1,9,5.0,2017.0,10.0,9.0,10
4,2,506.65,2,3,4,1,3,5,5.0,2017.0,7.0,6.0,10
4,2,447.14,2,3,4,1,1,3,5.0,2017.0,7.0,6.0,1
1,2,178.8,2,2,2,2,1,6,10.0,2017.0,7.0,6.0,19
5,2,169.35,1,3,4,2,1,5,6.0,2015.0,12.0,6.0,18
5,1,495.55,2,2,4,1,1,12,6.0,2017.0,7.0,6.0,12
4,2,402.98,1,2,4,1,1,1,6.0,2015.0,2.0,4.0,11
2,2,159.3,2,3,4,1,1,1,5.0,2017.0,7.0,6.0,2
6,2,448.78,1,3,4,1,1,3,5.0,2017.0,7.0,10.0,1
5,2,480.7,2,2,4,1,1,5,5.0,2017.0,3.0,11.0,14
2,1,495.3,1,3,4,1,1,5,5.0,2017.0,7.0,6.0,3
5,2,213.0,2,4,4,1,2,6,5.0,2017.0,8.0,12.0,23
3,2,486.35,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,22
5,1,497.7,2,2,4,1,1,1,5.0,2017.0,8.0,12.0,11
4,2,173.8,1,1,4,1,2,6,5.0,2017.0,7.0,6.0,22
3,2,214.2,1,2,2,4,10,11,5.0,2017.0,7.0,6.0,6
3,2,208.8,2,4,4,2,2,6,5.0,2017.0,4.0,10.0,18
6,1,73.2,2,2,4,1,3,15,15.0,2017.0,7.0,6.0,23
7,2,421.5,2,1,4,1,1,6,5.0,2017.0,7.0,6.0,21
5,2,152.5,2,3,4,1,1,7,5.0,2017.0,7.0,6.0,16
4,2,417.8,2,2,4,1,1,1,5.0,2017.0,7.0,6.0,3
1,2,468.86,2,3,4,1,1,1,5.0,2017.0,7.0,6.0,17
1,2,477.429,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,6
5,2,207.1,2,3,4,2,2,1,5.0,2017.0,7.0,6.0,20
4,2,451.6,1,3,4,1,2,5,6.0,2017.0,7.0,6.0,8
6,1,497.35,2,2,4,1,10,6,5.0,2017.0,7.0,6.0,16
5,1,55.24,1,2,4,1,1,5,5.0,2017.0,7.0,6.0,11
5,2,508.4,2,2,4,1,1,1,5.0,2017.0,7.0,6.0,0
2,2,507.95,1,3,4,1,1,5,5.0,2017.0,7.0,6.0,9
5,2,210.69,2,4,4,1,1,5,5.0,2017.0,7.0,6.0,22
4,2,199.0,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,10
1,2,452.9,2,3,4,1,1,5,5.0,2017.0,7.0,6.0,16
1,2,467.4,2,3,4,1,1,5,5.0,2017.0,7.0,6.0,0
3,2,261.4,1,2,4,1,1,1,5.0,2017.0,7.0,6.0,23
2,2,489.6,2,1,4,1,1,11,5.0,2017.0,7.0,6.0,20
3,2,135.4,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,10
2,2,703.795,1,2,4,1,1,5,5.0,2017.0,7.0,6.0,13
3,2,141.45,2,2,4,1,1,1,5.0,2017.0,7.0,6.0,9
4,2,196.6,2,2,2,4,12,14,5.0,2017.0,7.0,6.0,6
6,2,477.7,2,3,4,1,2,11,5.0,2016.0,6.0,8.0,21
5,2,265.1,2,3,4,1,1,1,5.0,2022.0,9.0,6.0,20
1,2,44.26,2,3,4,1,1,6,5.0,2017.0,7.0,6.0,15
6,2,18.3,1,2,4,1,5,6,5.0,2017.0,7.0,6.0,6
7,2,248.8,2,1,4,2,2,5,9.0,2017.0,7.0,6.0,9
2,2,414.1,2,2,4,1,3,6,5.0,2017.0,7.0,6.0,18
4,2,491.6,1,3,4,1,1,9,5.0,2017.0,7.0,6.0,13
1,2,487.7,2,2,4,1,1,9,5.0,2016.0,10.0,10.0,23
3,1,494.0,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,0
4,2,172.25,2,4,2,1,2,6,5.0,2017.0,7.0,6.0,22
7,2,14.2,1,4,4,1,1,6,6.0,2017.0,7.0,6.0,14
5,2,175.6,1,2,4,3,1,10,1.0,2015.0,8.0,5.0,8
6,2,184.05,1,4,4,1,1,11,5.0,2017.0,7.0,6.0,6
5,2,137.1,2,5,4,1,1,15,6.0,2023.0,9.0,2.0,14
1,2,227.5,1,4,2,4,1,1,5.0,2017.0,3.0,4.0,8
7,2,211.2,1,3,4,1,3,3,5.0,2017.0,7.0,6.0,1
3,2,423.4,2,3,4,1,1,1,6.0,2017.0,1.0,2.0,9
2,2,234.6,1,2,4,4,2,5,6.0,2017.0,7.0,6.0,23
6,2,422.32,1,2,4,1,11,3,5.0,2017.0,7.0,6.0,4
6,2,156.9,2,2,4,1,1,1,5.0,2017.0,7.0,6.0,5
4,2,437.25,2,3,4,1,1,9,5.0,2017.0,7.0,6.0,3
1,2,455.75,2,3,4,1,1,6,5.0,2017.0,7.0,6.0,23
1,2,509.6,2,2,4,1,1,1,5.0,2016.0,5.0,12.0,4
2,2,159.0,1,3,4,1,2,14,5.0,2017.0,7.0,6.0,17
2,2,206.2,2,1,2,1,9,11,5.0,2014.0,11.0,3.0,8
1,2,509.4,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,17
7,1,492.8,1,2,4,1,1,9,5.0,2017.0,7.0,6.0,5
7,2,244.4,2,3,2,1,1,6,5.0,2017.0,12.0,2.0,10
7,1,496.3,2,3,4,1,1,6,5.0,2017.0,5.0,2.0,18
7,2,231.0,2,4,4,1,2,1,5.0,2017.0,7.0,6.0,16
5,2,237.4,2,2,4,1,2,1,5.0,2017.0,7.0,6.0,20
3,2,156.0,1,3,2,4,1,1,5.0,2014.0,2.0,7.0,13
2,2,38.4,2,2,4,1,1,6,5.0,2022.0,6.0,6.0,3
5,2,212.6,2,3,4,1,1,11,5.0,2017.0,7.0,6.0,7
5,2,173.5,1,3,2,1,1,5,5.0,2017.0,10.0,11.0,11
4,2,492.25,1,3,4,1,1,6,9.0,2017.0,6.0,4.0,18
4,2,136.85,2,5,4,1,1,5,1.0,2017.0,7.0,6.0,8
1,2,503.1,2,2,4,1,1,6,5.0,2017.0,7.0,6.0,12
7,2,481.1,2,3,4,1,4,11,5.0,2017.0,7.0,6.0,16
6,2,215.5,2,2,2,1,9,3,5.0,2017.0,7.0,6.0,2
5,2,168.0,1,2,4,1,2,14,5.0,2017.0,7.0,6.0,19
2,2,501.2,2,3,4,1,1,6,5.0,2017.0,7.0,6.0,19
